Logare administrator cu ID: 5,2025-06-02 21:57:48
ADMIN - afiseazaAutori,2025-06-02 21:57:54
ADMIN - adaugaAutor,2025-06-02 21:58:20
ADMIN - afiseazaAutori,2025-06-02 21:58:24
ADMIN - stergeAutor,2025-06-02 21:58:39
Logare administrator cu ID: 5,2025-06-02 23:32:36
Logare administrator cu ID: 5,2025-06-02 23:35:40
ADMIN - afiseazaUtilizatori,2025-06-02 23:35:43
ADMIN - adaugaUtilizator,2025-06-02 23:36:28
Logare administrator cu ID: 5,2025-06-02 23:39:51
ADMIN - afiseazaUtilizatori,2025-06-02 23:39:55
ADMIN - adaugaUtilizator,2025-06-02 23:40:35
ADMIN - stergeUtilizator,2025-06-02 23:42:27
ADMIN - adaugaUtilizator cu ID14,2025-06-02 23:43:00
ADMIN - adaugaUtilizator,2025-06-02 23:43:00
Logare administrator cu ID: 5,2025-06-02 23:47:31
ADMIN - actualizeazaUtilizator,2025-06-02 23:48:19
Logare administrator cu ID: 5,2025-06-02 23:51:03
ADMIN - actualizeazaUtilizator,2025-06-02 23:51:51
ADMIN - afiseazaUtilizatori,2025-06-02 23:51:54
ADMIN - stergeUtilizator,2025-06-02 23:53:01
ADMIN - actualizeazaUtilizator,2025-06-02 23:53:58
Logare administrator cu ID: 5,2025-06-03 00:07:07
ADMIN - adaugaUtilizator cu ID: 15,2025-06-03 00:07:29
ADMIN - stergeUtilizator cu ID: 15,2025-06-03 00:07:40
Eșec autentificare,2025-06-03 01:05:33
Logare utilizator cu ID: 3,2025-06-03 01:05:54
UTILIZATOR 3 - a creat comanda #5,2025-06-03 01:07:20
UTILIZATOR 3 - a anulat comanda #5,2025-06-03 01:07:35
UTILIZATOR 3 - a creat comanda #6,2025-06-03 01:08:07
Eșec autentificare,2025-06-03 01:10:10
Eșec autentificare,2025-06-03 01:10:11
Eșec autentificare,2025-06-03 01:10:13
Blocare acces după prea multe încercări,2025-06-03 01:10:13
Creare cont nou,2025-06-03 01:10:53
Eșec autentificare,2025-06-03 01:11:25
Eșec autentificare,2025-06-03 01:11:26
Eșec autentificare,2025-06-03 01:11:28
Blocare acces după prea multe încercări,2025-06-03 01:11:28
Logare utilizator cu ID: 16,2025-06-03 01:11:50
Logare administrator cu ID: 5,2025-06-03 01:13:15
